Rdate,comment,condition,drug,easeofuse,effectiveness,helpful,reviewer,satisfaction
9/19/07 17:10,,Type 2 Diabetes Mellitus,Lantus subcutaneous,4,2,1,"TeresaJo, 35-44 Female  on Treatment for 1 to less than 2 years (Patient)",1
1/30/15 21:41,"I had been on Victoza but couldn't continue because of the nausea.  I was also taking Lantus.  I started on Trulicity two weeks ago and had no nausea, have more energy and my blood sugars are in range.  I no longer take lentos either.",Type 2 Diabetes Mellitus,Trulicity subcutaneous,5,5,3,45-54 Female  on Treatment for less than 1 month (Caregiver),5
9/20/07 13:28,does not lower blood sugar levels efficiently,Type 2 Diabetes Mellitus,Glucophage oral,5,1,1,"billydcravens78, 25-34 Male  on Treatment for less than 1 month (Patient)",2
12/28/07 12:46,"The only problem has been nausea, sometimes even when taken with food.  Also, I just dicovered that I should noy have taken this with conjestive heart failure.  Another case of doctors either being not informed or not paying attention.",Type 2 Diabetes Mellitus,Glucophage oral,3,3,1,"JadeTreeLady, 55-64 Female  on Treatment for 10 years or more (Patient)",3
12/20/07 12:21,,Type 2 Diabetes Mellitus,Glucophage oral,5,5,1,"pf832001, 19-24 Male  on Treatment for 1 to 6 months (Patient)",4
10/25/07 19:33,,Type 2 Diabetes Mellitus,Glucophage oral,5,4,2,"BillM, 55-64 Male  on Treatment for 6 months to less than 1 year (Patient)",5
10/21/07 21:29,,Type 2 Diabetes Mellitus,Glucophage oral,5,5,1,"Dave, 55-64 Male  on Treatment for 5 to less than 10 years (Patient)",5
10/4/07 21:19,,Type 2 Diabetes Mellitus,Glucophage oral,5,5,3,"crazy, 35-44 Female  on Treatment for 1 to less than 2 years (Patient)",5
4/4/08 7:51,"It seems to work, Temporarily. In the last 4 years I've had to increase my dosage, from 500 mgs a day to 2000 mgs a day. I'm 43 yrs old. I use to weigh 232 lbs. 
@ 5' 11'. Now @ 190 lbs. I wish there was another (healthier) way. ",Type 2 Diabetes Mellitus,Glucophage oral,4,3,1,"jerry, 35-44 Male  on Treatment for 10 years or more",2
3/26/08 20:54,,Type 2 Diabetes Mellitus,Glucophage oral,3,4,6,"mandy, 45-54 Female  on Treatment for 2 to less than 5 years (Patient)",3
3/23/08 1:32,,Type 2 Diabetes Mellitus,Glucophage oral,5,3,2,35-44 Female  on Treatment for 1 to less than 2 years (Patient),2
3/16/08 18:17,,Type 2 Diabetes Mellitus,Glucophage oral,4,5,0,55-64 Female  on Treatment for 2 to less than 5 years (Patient),3
1/18/08 12:45,,Type 2 Diabetes Mellitus,Glucophage oral,4,4,0,"joey, 55-64 Female  on Treatment for 5 to less than 10 years (Patient)",4
10/12/08 18:45,"Ineed to have a ctscan and they tell me
there could be complications with the test is this true i also have kidney cancer",Type 2 Diabetes Mellitus,Glucophage oral,4,3,2,"guitarman, 65-74 Male  on Treatment for less than 1 month (Patient)",4
6/18/08 19:58,,Type 2 Diabetes Mellitus,Glucophage oral,2,1,2,"Anonymous, 45-54 Female  on Treatment for 1 to less than 2 years (Patient)",1
6/8/08 7:38,,Type 2 Diabetes Mellitus,Glucophage oral,4,3,0,"sarahsmoou, 35-44 Female  on Treatment for 1 to 6 months (Patient)",3
5/31/08 23:17,,Type 2 Diabetes Mellitus,Glucophage oral,3,4,0,"purplepatty, 55-64 Female  on Treatment for 2 to less than 5 years (Patient)",3
5/19/08 19:47,,Type 2 Diabetes Mellitus,Glucophage oral,5,5,5,25-34 Female  on Treatment for 2 to less than 5 years (Patient),5
4/4/09 15:32,"Diagnosed with Type II Diabetes, I have been taking Metformin for about 3 years. I did not have any of the symptoms that other people have had. So far so good.




",Type 2 Diabetes Mellitus,Glucophage oral,4,4,1,65-74 Female  on Treatment for 5 to less than 10 years (Patient),4
3/1/09 1:23,,Type 2 Diabetes Mellitus,Glucophage oral,5,3,9,"dadsjane, 35-44 Female  on Treatment for 1 to 6 months (Caregiver)",1
2/23/09 22:52,,Type 2 Diabetes Mellitus,Glucophage oral,4,2,2,"Tanveer Ahmad, 35-44 Male  on Treatment for 1 to 6 months (Patient)",2
1/28/09 15:58,,Type 2 Diabetes Mellitus,Glucophage oral,3,2,5,55-64 Male  on Treatment for less than 1 month (Patient),3
1/25/09 19:26,,Type 2 Diabetes Mellitus,Glucophage oral,5,2,0,45-54 Male  on Treatment for 5 to less than 10 years (Patient),3
6/1/09 22:21,,Type 2 Diabetes Mellitus,Glucophage oral,5,4,1,45-54 Male  on Treatment for 5 to less than 10 years (Patient),5
5/29/09 6:51,,Type 2 Diabetes Mellitus,Glucophage oral,1,2,1,"Darlean, 35-44 Female  on Treatment for 1 to 6 months (Patient)",1
6/17/09 21:34,,Type 2 Diabetes Mellitus,Glucophage oral,3,3,3,55-64 Female  on Treatment for 1 to less than 2 years,1
6/16/09 13:29,,Type 2 Diabetes Mellitus,Glucophage oral,5,1,1,"fuzzy, 45-54 Female  on Treatment for 1 to 6 months (Patient)",1
5/10/09 14:50,,Type 2 Diabetes Mellitus,Glucophage oral,4,1,7,"mary949094, 45-54 Female  on Treatment for less than 1 month (Patient)",1
7/20/09 17:38,,Type 2 Diabetes Mellitus,Glucophage oral,4,3,0,55-64 Female  on Treatment for 1 to 6 months (Patient),2
7/16/09 11:06,,Type 2 Diabetes Mellitus,Glucophage oral,4,2,5,"none, 55-64 Male  on Treatment for 2 to less than 5 years (Patient)",1
7/15/09 20:01,,Type 2 Diabetes Mellitus,Glucophage oral,4,4,1,45-54 Female  on Treatment for 1 to 6 months (Patient),4
7/6/09 13:29,,Type 2 Diabetes Mellitus,Glucophage oral,4,4,0,75 or over Male  on Treatment for 1 to less than 2 years (Patient),4
6/24/09 23:27,,Type 2 Diabetes Mellitus,Glucophage oral,5,4,8,55-64 Male  on Treatment for 2 to less than 5 years,4
9/3/09 19:37,"Glucophage oral Medication has worked for me as it will not allow one to bottom out,the way I eat another medication would not hold me, I never eat three meals a day and some times I snack on something other then sitting down to a meal. The only thing I dislike is ,it uosets my stomach and causes a lot of gas , but then I figure the good out weighs the bad.",Type 2 Diabetes Mellitus,Glucophage oral,3,3,1,"gretch1, 65-74 Female  on Treatment for 2 to less than 5 years (Patient)",3
8/29/09 19:28,,Type 2 Diabetes Mellitus,Glucophage oral,5,5,6,"bella, 55-64 Female  on Treatment for 2 to less than 5 years (Patient)",5
8/26/09 17:16,,Type 2 Diabetes Mellitus,Glucophage oral,5,5,6,"user797271, 65-74 Male  on Treatment for less than 1 month (Patient)",5
7/24/09 14:31,,Type 2 Diabetes Mellitus,Glucophage oral,4,1,6,"perfarris, 65-74 Female  on Treatment for 1 to 6 months (Patient)",1
7/24/09 11:16,,Type 2 Diabetes Mellitus,Glucophage oral,2,3,1,35-44 Male  on Treatment for 1 to 6 months (Patient),1
9/23/09 7:54,,Type 2 Diabetes Mellitus,Glucophage oral,4,4,3,55-64 Female  on Treatment for less than 1 month (Patient),5
9/22/09 13:10,,Type 2 Diabetes Mellitus,Glucophage oral,5,5,1,"Yaya, 35-44 Female  on Treatment for 2 to less than 5 years (Patient)",5
9/16/09 14:02,,Type 2 Diabetes Mellitus,Glucophage oral,5,4,2,,5
9/12/09 13:57,,Type 2 Diabetes Mellitus,Glucophage oral,4,4,2,25-34 Female  on Treatment for 1 to 6 months (Patient),4
9/8/09 11:22,,Type 2 Diabetes Mellitus,Glucophage oral,5,5,1,"MercThrasher, 55-64 Male  on Treatment for 1 to 6 months (Patient)",4
10/30/09 1:27,"tierd all the time/weightgain 
 
takeing /60 mgs twice a day of hunalog 75/25
with takeing glucophage twice a day 500/500",Type 2 Diabetes Mellitus,Glucophage oral,4,4,2,"gerald novak, 75 or over Male  on Treatment for 10 years or more (Patient)",4
10/27/09 10:43,,Type 2 Diabetes Mellitus,Glucophage oral,3,1,1,"sca, 55-64 Female  on Treatment for less than 1 month (Patient)",1
10/20/09 15:40,,Type 2 Diabetes Mellitus,Glucophage oral,2,2,1,"JPeg, 55-64 Female  on Treatment for 1 to less than 2 years (Patient)",1
10/19/09 14:41,,Type 2 Diabetes Mellitus,Glucophage oral,4,3,7,"PAT, 65-74 Female  on Treatment for 1 to less than 2 years (Patient)",4
9/24/09 9:51,,Type 2 Diabetes Mellitus,Glucophage oral,5,5,1,"Grounded, 55-64 Female  on Treatment for 1 to less than 2 years (Patient)",5
1/4/10 12:17,"Diet, exercize, and regular testing result in a easy to use glucose control for me with few side effects.",Type 2 Diabetes Mellitus,Glucophage oral,5,5,8,"ponyman, 65-74 Male  on Treatment for 5 to less than 10 years (Patient)",5
12/29/09 3:43,,Type 2 Diabetes Mellitus,Glucophage oral,4,1,7,"laila, 35-44 Female  on Treatment for 1 to 6 months (Patient)",1
12/28/09 13:46,,Type 2 Diabetes Mellitus,Glucophage oral,5,5,8,"soj0313, 45-54 Male  on Treatment for 2 to less than 5 years (Patient)",5
12/11/09 17:28,,Type 2 Diabetes Mellitus,Glucophage oral,4,4,9,"thebrit , 55-64 Female  on Treatment for 6 months to less than 1 year (Patient)",2
11/19/09 22:00,,Type 2 Diabetes Mellitus,Glucophage oral,5,3,0,"saeed, 35-44 Male  on Treatment for 1 to 6 months (Patient)",3
1/28/10 14:41,"had good results when I first started takeing it 12 years ago, lately I hve noticed I'm not geting the results  that I am looking for.My Doctor has increased my dosage from 500 mg twice a day to 850 mg twice a day.It has not made any diference.Resently I had a injection of cortison for a sore tendon and my blood sugars didn't come down to exceptiable levels for a week,also have been gettin
					...
					",Type 2 Diabetes Mellitus,Glucophage oral,4,2,9,,2
1/28/10 6:34,,Type 2 Diabetes Mellitus,Glucophage oral,4,3,0,65-74 Male  on Treatment for 1 to 6 months,3
1/20/10 22:18,,Type 2 Diabetes Mellitus,Glucophage oral,4,5,2,"pb, 45-54 Female  on Treatment for 1 to 6 months (Patient)",5
1/19/10 14:42,,Type 2 Diabetes Mellitus,Glucophage oral,5,3,1,"acquahha, 55-64 Female  on Treatment for less than 1 month (Caregiver)",5
1/9/10 19:51,,Type 2 Diabetes Mellitus,Glucophage oral,4,4,2,"abmy,  Male  on Treatment for 1 to less than 2 years (Patient)",4
3/3/10 15:22,"My husband is on this horrible drug for the past few years. If he has ONE good day a week, he counts his blessings. He has terrible gas pains, vomiting, diarreah and said he always feels like he has a ""hangover.""
What a horrible way to live, and his blood sugar isn't really even that high. I'm trying to get his doctor to take him off this gargage so he can resume a normal life.",Type 2 Diabetes Mellitus,Glucophage oral,1,1,1,"serialmom12, 45-54 Female  on Treatment for 2 to less than 5 years (Caregiver)",1
2/25/10 14:30,,Type 2 Diabetes Mellitus,Glucophage oral,4,3,7,"Imhotep,  Male  on Treatment for 10 years or more (Patient)",3
2/14/10 10:29,,Type 2 Diabetes Mellitus,Glucophage oral,5,3,9,"conn1150, 55-64 Male  on Treatment for 10 years or more (Patient)",3
2/10/10 15:54,,Type 2 Diabetes Mellitus,Glucophage oral,5,3,0,55-64 Male  on Treatment for 10 years or more (Patient),4
2/3/10 15:53,,Type 2 Diabetes Mellitus,Glucophage oral,4,3,7,55-64 Male  on Treatment for 1 to 6 months (Patient),3
3/31/10 15:02,,Type 2 Diabetes Mellitus,Glucophage oral,5,5,3,55-64 Female  on Treatment for 5 to less than 10 years (Patient),5
3/30/10 21:29,,Type 2 Diabetes Mellitus,Glucophage oral,4,3,0,55-64 Female  (Patient),4
3/29/10 23:18,,Type 2 Diabetes Mellitus,Glucophage oral,3,5,4,"rome, 65-74 Female  on Treatment for 1 to 6 months (Patient)",3
3/26/10 18:17,,Type 2 Diabetes Mellitus,Glucophage oral,4,4,0,"pgriffin, 55-64 Female  (Patient)",4
3/10/10 13:17,,Type 2 Diabetes Mellitus,Glucophage oral,1,3,1,35-44 Female  on Treatment for less than 1 month (Patient),2
5/26/10 14:12,"I have Type II diabetes.

Metformin/Glucophage isn't a cure all, but has been helpful to me in managing blood glucose.

It's clear that this alone won't do it all. I've lost 25 pounds in a year mostly due to an abbreviated diet and have about 25 more to go. It's so important to change your diet to a more healthy one.

Exercise...I still don't exercise enough, but on d
					...
					",Type 2 Diabetes Mellitus,Glucophage oral,5,3,1,"California, 55-64 Male  on Treatment for 1 to less than 2 years (Patient)",4
4/25/10 21:47,,Type 2 Diabetes Mellitus,Glucophage oral,3,5,6,"barbara, 65-74 on Treatment for less than 1 month (Patient)",4
4/18/10 21:50,,Type 2 Diabetes Mellitus,Glucophage oral,5,5,1,"Wanita, 35-44 Female  on Treatment for 10 years or more (Patient)",5
4/13/10 16:40,,Type 2 Diabetes Mellitus,Glucophage oral,5,3,5,55-64 Female  on Treatment for less than 1 month (Patient),3
4/3/10 17:28,,Type 2 Diabetes Mellitus,Glucophage oral,2,4,8,"Logan, 35-44 Male  on Treatment for 1 to less than 2 years (Patient)",3
7/22/10 14:52,,Type 2 Diabetes Mellitus,Glucophage oral,3,2,0,75 or over Female  on Treatment for 2 to less than 5 years (Patient),2
7/14/10 14:04,,Type 2 Diabetes Mellitus,Glucophage oral,5,4,2,,2
7/13/10 21:54,,Type 2 Diabetes Mellitus,Glucophage oral,4,1,7,"avonwood, 55-64 on Treatment for 1 to 6 months (Patient)",1
6/9/10 11:37,,Type 2 Diabetes Mellitus,Glucophage oral,2,2,5,"stephanie, 55-64 Female  on Treatment for 2 to less than 5 years (Patient)",1
6/1/10 15:42,,Type 2 Diabetes Mellitus,Glucophage oral,3,3,6,65-74 Female  on Treatment for 5 to less than 10 years (Patient),2
8/21/10 1:37,"No problems so far
",Type 2 Diabetes Mellitus,Glucophage oral,3,3,3,"BOB, 55-64 Male  on Treatment for 5 to less than 10 years (Patient)",3
9/14/10 17:54,,Type 2 Diabetes Mellitus,Glucophage oral,3,2,3,"inastupor, 35-44 Female  on Treatment for less than 1 month (Patient)",1
8/18/10 14:26,,Type 2 Diabetes Mellitus,Glucophage oral,5,5,2,"Healthy, 45-54 Female  on Treatment for 2 to less than 5 years (Patient)",5
8/8/10 16:17,,Type 2 Diabetes Mellitus,Glucophage oral,3,3,5,"danny, 25-34 Male  on Treatment for 5 to less than 10 years (Patient)",3
8/3/10 11:57,,Type 2 Diabetes Mellitus,Glucophage oral,4,4,1,"sally, 65-74 Female  on Treatment for 5 to less than 10 years (Patient)",4
11/29/10 16:04,"Insulin resistant, tired, high blood sugar, obese",Type 2 Diabetes Mellitus,Glucophage oral,5,5,0,"Nikki8914, 55-64 Female  on Treatment for 1 to 6 months (Patient)",5
11/5/10 19:09,,Type 2 Diabetes Mellitus,Glucophage oral,4,4,3,"Pato, 55-64 Male  on Treatment for 1 to less than 2 years (Patient)",4
11/1/10 11:55,,Type 2 Diabetes Mellitus,Glucophage oral,3,4,8,"sammy7777, 19-24 Female  on Treatment for 2 to less than 5 years (Patient)",4
10/20/10 17:07,,Type 2 Diabetes Mellitus,Glucophage oral,3,3,0,"cymar, 75 or over Male  on Treatment for 1 to 6 months (Patient)",3
10/19/10 12:36,,Type 2 Diabetes Mellitus,Glucophage oral,4,3,0,55-64 Female  on Treatment for less than 1 month (Patient),3
3/12/11 18:00,"Diagnosed with Type 2 Dec 7, '10, started 500 mg/day Dec 8, have lost 17 pounds in 3 months with diet change, blood sugar average has dropped below 120, A1c of 6.0 after 3 months, no side effects.  Energy level improved a little, eyesight a little less fuzzy, in general feel better and under control, but need to get more active.  I've been pleased with the drug, it only costs $4.00/mo.  Am
					...
					",Type 2 Diabetes Mellitus,Glucophage oral,5,5,1,"jim fetterolf, 55-64 Male  on Treatment for 1 to 6 months (Patient)",5
1/28/11 13:36,,Type 2 Diabetes Mellitus,Glucophage oral,1,3,4,"bebe, 55-64 Female  on Treatment for 5 to less than 10 years (Patient)",2
1/18/11 12:21,,Type 2 Diabetes Mellitus,Glucophage oral,1,1,6,45-54 Female  on Treatment for less than 1 month (Patient),1
1/14/11 15:41,,Type 2 Diabetes Mellitus,Glucophage oral,4,3,3,45-54 Female  on Treatment for less than 1 month (Patient),2
1/11/11 19:50,,Type 2 Diabetes Mellitus,Glucophage oral,3,4,4,"bonbon, 25-34 Male  on Treatment for 6 months to less than 1 year (Patient)",3
1/23/12 10:51,I was on this drug in addition to metformin for about 4 months and gained almost 20 pounds.  My doctor finally told me that weight gain was a MAJOR side effect of this drug.  As I have RA I am trying to stay smaller and now I am stuck with this weigh that does not want to go away.  I will say my sugars have not been as stable with out it but I have gone to strictly insulin now and it is helping.,Type 2 Diabetes Mellitus,Glucophage oral,5,4,9,"jatizt, 45-54 Female  on Treatment for 1 to 6 months",1
12/28/11 11:14,,Type 2 Diabetes Mellitus,Glucophage oral,5,5,4,on Treatment for 1 to less than 2 years (Patient),5
9/27/11 8:41,,Type 2 Diabetes Mellitus,Glucophage oral,4,3,3,35-44 Male  on Treatment for 2 to less than 5 years (Patient),4
8/7/11 21:17,,Type 2 Diabetes Mellitus,Glucophage oral,5,5,2,55-64 Male  (Patient),5
6/7/11 17:57,,Type 2 Diabetes Mellitus,Glucophage oral,5,3,3,"ABAID, 55-64 Male  on Treatment for less than 1 month (Patient)",3
4/26/13 18:45,"I have been on glucophage 500mg twice a day  for 10 years recently my dr doubled dose ac1 levels 6.1 /7  2000 mg  daily  it caused severe gi problems  dehydration severe abdominal pain sending me to  er bloating gas diareaha vomiting many  tests were scheduleded including catscan  with dye requring me  to  stop taking it. 2days after  stopping meds my stomache quit hurting bloating gone diareaha  
					...
					",Type 2 Diabetes Mellitus,Glucophage oral,2,1,1,"mashugana, 55-64 Female  on Treatment for 10 years or more (Patient)",1
9/13/12 19:37,,Type 2 Diabetes Mellitus,Glucophage oral,5,5,6,"jmechanic5,  Male  (Patient)",5
7/9/12 17:05,,Type 2 Diabetes Mellitus,Glucophage oral,5,4,1,"cocoa, 55-64 Female  on Treatment for 2 to less than 5 years (Patient)",3
6/12/12 7:24,,Type 2 Diabetes Mellitus,Glucophage oral,5,4,8,"AMP, 45-54 Male  on Treatment for 5 to less than 10 years (Patient)",4
4/17/12 17:40,,Type 2 Diabetes Mellitus,Glucophage oral,2,2,7,"Flawless43, 35-44 Female  on Treatment for less than 1 month (Patient)",1
4/30/14 10:01,"When I started I had alot of gastrointestinal problems.  They seemed to get better after a couple of weeks.  After a month, it was increased and I started to feel sick all the time.  I thought perhaps it had built up to a high level in my system so skipped a dose.  This AM I took a dose with a meal, within two hours my hear was rapidly beating and I felt as if I could not catch my breath.  I looke
					...
					",Type 2 Diabetes Mellitus,Glucophage oral,2,3,7,"Dee1956, 55-64 Female  on Treatment for 1 to 6 months (Patient)",2
4/6/14 12:39,,Type 2 Diabetes Mellitus,Glucophage oral,3,5,1,"Richard, 75 or over Male  on Treatment for 6 months to less than 1 year (Patient)",3
3/17/14 10:13,,Type 2 Diabetes Mellitus,Glucophage oral,4,3,2,"jodo, 75 or over Female  on Treatment for 10 years or more (Patient)",3
6/26/13 10:52,,Type 2 Diabetes Mellitus,Glucophage oral,2,1,1,"Buggyducjk, 75 or over Male  on Treatment for less than 1 month (Patient)",1
6/13/13 14:25,,Type 2 Diabetes Mellitus,Glucophage oral,5,5,2,75 or over Female  on Treatment for 10 years or more (Patient),5
3/8/17 19:00,"I took Metformin 500 twice a day for one month. It seem to lower my sugar. And I lost weight But, that was because I developed Stomach pain,could'nt eat and Diarrhea, some very dark in color. When I stopped it all went away. This was recommended as a drug with less side effects. Now I'm afraid to try another.",Type 2 Diabetes Mellitus,Glucophage oral,3,3,4,"Sam, 65-74 on Treatment for less than 1 month (Patient)",1
2/24/16 19:05,,Type 2 Diabetes Mellitus,Glucophage oral,1,1,9,"Me2017, 45-54 on Treatment for less than 1 month (Patient)",1
9/23/14 2:31,,Type 2 Diabetes Mellitus,Glucophage oral,3,2,4,"Type -2 diabitic, 45-54 Male  on Treatment for 1 to less than 2 years (Patient)",2
9/9/14 6:14,,Type 2 Diabetes Mellitus,Glucophage oral,1,1,1,"bassaniobroke, 45-54 Male  on Treatment for less than 1 month (Patient)",1
8/28/14 15:55,,Type 2 Diabetes Mellitus,Glucophage oral,1,3,1,"Herodotus, 45-54 Male  on Treatment for less than 1 month (Patient)",1
6/26/15 13:36,"I've been on Trulicity for a week now.  No nausea, no cravings, no bad side effects as of yet.  I'm not as hungry. While testing my sugar, it seems to be working awesomely.  I go back in 2 months for blood work.  I have also lost 6 lbs in the first week.  This is the only med for diabetics to help me.  ",Type 2 Diabetes Mellitus,Trulicity subcutaneous,5,5,1,"Karebear, 35-44 Female  on Treatment for less than 1 month (Patient)",5
5/31/15 21:23,,Type 2 Diabetes Mellitus,Trulicity subcutaneous,5,5,8,55-64 Female  on Treatment for less than 1 month (Patient),1
4/29/15 11:18,,Type 2 Diabetes Mellitus,Trulicity subcutaneous,4,5,1,"Bea, 35-44 Female  on Treatment for less than 1 month (Patient)",5
3/16/15 12:28,,Type 2 Diabetes Mellitus,Trulicity subcutaneous,5,5,2,"Maddy, 25-34 Female  on Treatment for 6 months to less than 1 year (Patient)",5
2/20/15 23:26,,Type 2 Diabetes Mellitus,Trulicity subcutaneous,5,5,2,"Red, 55-64 Female  on Treatment for less than 1 month (Patient)",5
10/12/15 12:43,Used for a month so far.  My fasting blood sugar level has went from way over 300 to under 100.  Have also lost weight.  I have not experienced the side effects some have.,Type 2 Diabetes Mellitus,Trulicity subcutaneous,5,5,1,35-44 Male  on Treatment for 1 to 6 months (Patient),5
8/30/15 15:41,,Type 2 Diabetes Mellitus,Trulicity subcutaneous,4,4,1,45-54 Female  on Treatment for less than 1 month (Patient),1
7/28/15 18:47,,Type 2 Diabetes Mellitus,Trulicity subcutaneous,4,4,4,"uj8jrh, 55-64 Female  on Treatment for 1 to 6 months (Patient)",1
7/21/15 12:03,,Type 2 Diabetes Mellitus,Trulicity subcutaneous,5,5,3,"bob, 55-64 Male  on Treatment for 1 to 6 months (Patient)",1
7/8/15 8:12,,Type 2 Diabetes Mellitus,Trulicity subcutaneous,5,5,2,"Darlene, 55-64 Female  on Treatment for 1 to 6 months (Patient)",5
11/24/15 16:46,"My first injection on Friday...sick stomach and diarrhea on Sunday. All of that lasted the entire week. Second injection on Friday, sick stomach and indigestion on Sunday. On Tuesday, I felt human again, everything back to normal. I'm eating half of a meal instead of the whole thing and I'm not craving anything. I have lost weight and am feeling so much better. For anyone skeptical about t
					...
					",Type 2 Diabetes Mellitus,Trulicity subcutaneous,5,5,3,"Sweetpea, 55-64 Female  on Treatment for less than 1 month (Patient)",5
11/20/15 0:06,,Type 2 Diabetes Mellitus,Trulicity subcutaneous,5,3,6,45-54 Female  on Treatment for less than 1 month (Patient),2
11/12/15 15:18,,Type 2 Diabetes Mellitus,Trulicity subcutaneous,5,2,1,"Dddelo, 45-54 Male  on Treatment for less than 1 month (Patient)",2
10/26/15 15:50,,Type 2 Diabetes Mellitus,Trulicity subcutaneous,5,5,2,"Aunt Tiki, 45-54 Female  on Treatment for 1 to 6 months (Patient)",4
10/19/15 16:31,,Type 2 Diabetes Mellitus,Trulicity subcutaneous,5,5,3,"Yolielomeli, 35-44 Female  on Treatment for 1 to 6 months (Patient)",5
1/15/16 10:25,"Started Trulicity October 2015. A1C was 12 and had finally gotten Lantus fro 50 to 10. In addition, also take metformin 2000mg per day. Along with diet and exercise (cardio, weight training, ect), my A1C is now at 6 and I am off the Lantus. I started on the .75 dose for 2 weeks before moving to 1.5. Nausea was initially fairly mild but persistent for first 3 weeks. After that, no problem. Definite
					...
					",Type 2 Diabetes Mellitus,Trulicity subcutaneous,5,5,3,"Denise, 45-54 on Treatment for 1 to 6 months (Patient)",4
1/10/16 17:48,,Type 2 Diabetes Mellitus,Trulicity subcutaneous,5,5,2,"Mthompson61, 55-64 on Treatment for 6 months to less than 1 year (Patient)",5
1/8/16 10:18,,Type 2 Diabetes Mellitus,Trulicity subcutaneous,1,1,8,"Jltc, 55-64 Female  on Treatment for less than 1 month (Patient)",1
12/16/15 4:32,,Type 2 Diabetes Mellitus,Trulicity subcutaneous,3,3,7,"Virgocusp, 55-64 on Treatment for less than 1 month (Patient)",1
12/15/15 14:31,,Type 2 Diabetes Mellitus,Trulicity subcutaneous,4,4,5,"BirdmanD, 45-54 on Treatment for 1 to 6 months (Patient)",4
